data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,-0.001061159,0.013029921,-0.008746273,Sst,SM-GE92A_S049_E1-50,3
Ephys,0.001844449,0.01275184,-0.004489161,Sst,SM-GE92A_S058_E1-50,3
Ephys,-0.000540207,0.014176059,-0.007780226,Sst,SM-GE92A_S059_E1-50,3
Ephys,-0.000811133,0.012145484,-0.006624213,Sst,SM-GE92A_S060_E1-50,3
Ephys,-0.00332753,0.009414329,-0.005031006,Sst,SM-GE92A_S051_E1-50,3
Ephys,0.013055257,-0.002879204,0.017882939,Vip,SM-GE92A_S054_E1-50,1
Ephys,0.013967061,-0.005071551,0.017453683,Vip,SM-GE92A_S057_E1-50,1
Ephys,0.011049584,-0.005369816,0.005117991,Sncg,SM-GE92A_S065_E1-50,5
Ephys,-0.019778344,-0.008045521,0.004719677,Pvalb,SM-GE92A_S069_E1-50,2
Ephys,-0.019860603,-0.010317876,0.005675134,Pvalb,SM-GE92A_S070_E1-50,2
Ephys,-0.018996554,-0.009044381,0.005519104,Pvalb,SM-GE92A_S072_E1-50,2
Ephys,-0.020083244,-0.007316746,0.005222983,Pvalb,SM-GE92A_S081_E1-50,2
Ephys,-0.00418702,0.011668281,-0.007608738,Sst,SM-GE92A_S092_E1-50,3
Ephys,-0.016053098,-0.007532418,0.004025002,Pvalb,SM-GE92A_S082_E1-50,5
Ephys,-0.018722034,-0.006369925,0.00418312,Pvalb,SM-GE92A_S093_E1-50,5
Ephys,-0.022499172,-0.010305378,0.007646273,Pvalb,SM-GE8X4_S113_E1-50,2
Ephys,-0.022990747,-0.010684306,0.007173666,Pvalb,SM-GE8X4_S110_E1-50,2
Ephys,-0.022041235,-0.010706015,0.008060512,Pvalb,SM-GE92A_S085_E1-50,2
Ephys,-0.020809832,-0.009089086,0.006044149,Pvalb,SM-GE8X4_S115_E1-50,2
Ephys,0.012036036,-0.026645751,-0.029991378,Lamp5,SM-GE8X4_S103_E1-50,4
Ephys,0.013264744,-0.004991057,0.016961961,Vip,SM-GE92A_S086_E1-50,1
Ephys,-0.023915877,-0.01147258,0.008212636,Pvalb,SM-GE92A_S095_E1-50,2
Ephys,0.011922082,-0.004062154,0.01537571,Vip,SM-GE92A_S087_E1-50,5
Ephys,-0.02242487,-0.010397058,0.006940946,Pvalb,SM-GE8X4_S105_E1-50,2
Ephys,-0.017635032,-0.010102102,0.00491529,Pvalb,SM-GE92A_S096_E1-50,2
Ephys,-0.02227845,-0.009977031,0.006911503,Pvalb,SM-GE8X4_S116_E1-50,2
Ephys,0.013252379,-0.003791216,0.018332967,Vip,SM-GE92A_S088_E1-50,1
Ephys,-0.019725709,-0.008387828,0.005492251,Pvalb,SM-GE8X4_S117_E1-50,2
Ephys,0.013285394,-0.004205386,0.019160202,Vip,SM-GE8X4_S111_E1-50,1
