"data","Val0","Val1","Val2","ttype","cellnames","gmm_cluster"
"Ephys",0.0303626814647189,-0.0166801081073385,0.00844785087892344,"IT","20180412_sample_1",2
"Ephys",-0.0228738990137794,-0.0177319986534466,-0.00597636565253177,"Pvalb","20180412_sample_2",1
"Ephys",0.032301401907498,-0.0187435258480099,0.0115852553125897,"IT","20180412_sample_4",2
"Ephys",0.029909205502736,-0.0158955603991552,0.00561914262247051,"IT","20180412_sample_7",2
"Ephys",-0.0276562028778316,-0.0246132131033453,0.00120185792853287,"Pvalb","20180413_sample_2",3
"Ephys",-0.0280842316692365,-0.0238877088301881,0.00236700466510065,"Pvalb","20180413_sample_3",3
"Ephys",0.0302559309912709,-0.0161916061577614,0.00981969069783672,"IT","20180413_sample_4",2
"Ephys",0.00259209850439692,0.0217691432683234,-0.0170199404714094,"Vip","20180417_sample_1",5
"Ephys",-0.019478110005535,-0.0122596591589918,-0.00646721997599115,"Pvalb","20180417_sample_2",1
"Ephys",0.0250188065862984,-0.011164201440071,-0.00596192679258045,"IT","20180417_sample_3",1
"Ephys",-0.031140429621001,-0.0321449256143228,0.000392009983501117,"Pvalb","20180417_sample_4",3
"Ephys",0.0311997695260352,-0.0172772963494438,0.00946448277856797,"IT","20180417_sample_5",2
"Ephys",0.0271382843024641,-0.0132871766966658,0.000236946474786706,"IT","20180417_sample_6",2
"Ephys",-0.0271674736810134,-0.0240395496018852,-0.0014192008732105,"Pvalb","20180417_sample_7",3
"Ephys",-0.015968540824471,0.0146441848762653,0.0290318512158102,"Sst","20180417_sample_8",4
"Ephys",0.0300861889668755,-0.0165273149864014,0.00366772328657519,"IT","20180417_sample_9",2
"Ephys",-0.0285742467858366,-0.0249998837919209,0.00439748613906868,"Pvalb","20180418_sample_1",3
"Ephys",-0.00862112418417921,-0.0173633457638379,-0.0010733690077854,"Pvalb","20180418_sample_2",1
"Ephys",-0.0250789835404275,-0.0212614776233231,-0.00421612352349514,"Pvalb","20180418_sample_3",1
"Ephys",0.0289369271623675,-0.0140766100935902,0.00941707455844529,"IT","20180418_sample_5",2
