"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vip",0,2.49193709667027,0.968,0.103,0,"Cluster 1","Vip"
"Cbln2",0,1.47595489255537,0.828,0.147,0,"Cluster 1","Cbln2"
"Sorcs3",2.14404362870598e-303,1.47215086908746,0.998,0.558,2.79154480457519e-300,"Cluster 1","Sorcs3"
"Prox1",2.77011614510527e-299,1.30408095239264,0.955,0.236,3.60669122092706e-296,"Cluster 1","Prox1"
"Adarb2",5.81721959683113e-275,1.59887696495477,0.998,0.495,7.57401991507413e-272,"Cluster 1","Adarb2"
"Sorcs1",6.70594767095282e-253,1.56501735147559,0.965,0.517,8.73114386758057e-250,"Cluster 1","Sorcs1"
"Sez6",3.21837914169224e-244,1.20688185315509,0.998,0.73,4.1903296424833e-241,"Cluster 1","Sez6"
"Csmd3",1.79022209257843e-241,0.952214069008654,1,0.961,2.33086916453711e-238,"Cluster 1","Csmd3"
"Kcnt2",3.6935642953635e-239,1.09435386196344,0.992,0.634,4.80902071256328e-236,"Cluster 1","Kcnt2"
"Igf1",4.93562908923638e-227,1.05927384833337,0.986,0.623,6.42618907418576e-224,"Cluster 1","Igf1"
"Hs6st3",4.6890609358971e-210,1.15527084923456,0.992,0.747,6.10515733853802e-207,"Cluster 1","Hs6st3"
"Slc44a5",3.58863046257112e-191,0.999344621955472,0.975,0.679,4.6723968622676e-188,"Cluster 1","Slc44a5"
"Nrxn1",1.56821764102481e-186,0.496367757479646,1,0.994,2.04181936861431e-183,"Cluster 1","Nrxn1"
"Sdk1",1.57943821932636e-186,0.966118927223773,0.975,0.752,2.05642856156292e-183,"Cluster 1","Sdk1"
"Magi3",1.50758731490659e-179,0.726358405651378,0.98,0.875,1.96287868400837e-176,"Cluster 1","Magi3"
"Cdh12",5.37333116395209e-175,1.01110858292869,0.992,0.854,6.99607717546562e-172,"Cluster 1","Cdh12"
"Egfr",9.35890539896893e-173,1.12083888671391,0.75,0.21,1.21852948294575e-169,"Cluster 1","Egfr"
"Sema5b",2.66931851069755e-165,1.4036496174597,0.7,0.251,3.47545270092821e-162,"Cluster 1","Sema5b"
"Penk",1.47575673042675e-164,1.63285047742738,0.59,0.137,1.92143526301563e-161,"Cluster 1","Penk"
"Fstl4",3.64547373410716e-158,0.947201564128948,0.949,0.534,4.74640680180752e-155,"Cluster 1","Fstl4"
"Shisa8",4.99402503406024e-156,0.957118399723225,0.519,0.098,6.50222059434644e-153,"Cluster 1","Shisa8"
"Kit",3.63492045856878e-149,1.00176980671713,0.897,0.411,4.73266643705655e-146,"Cluster 1","Kit"
"Arpp21",4.61059075167037e-148,0.888736177514475,0.952,0.659,6.00298915867483e-145,"Cluster 1","Arpp21"
"Cacna2d1",2.68823312707689e-147,0.759170414154368,0.952,0.494,3.50007953145412e-144,"Cluster 1","Cacna2d1"
"Galnt18",2.35002962136744e-145,1.01932226744753,0.879,0.525,3.0597385670204e-142,"Cluster 1","Galnt18"
"Zbtb16",2.00638808270972e-143,0.580824926762014,0.986,0.918,2.61231728368805e-140,"Cluster 1","Zbtb16"
"Cnr1",5.25255803103323e-141,0.834286909215104,0.969,0.703,6.83883055640527e-138,"Cluster 1","Cnr1"
"Caln1",4.04555294111564e-140,0.949798515028167,0.923,0.579,5.26730992933256e-137,"Cluster 1","Caln1"
"Crh",3.14004950086476e-139,1.45619584435633,0.665,0.235,4.08834445012592e-136,"Cluster 1","Crh"
"Cit",3.98601980664527e-138,0.476760455859923,0.998,0.958,5.18979778825215e-135,"Cluster 1","Cit"
"Pde4b",3.68204273225796e-136,0.826627498247022,0.931,0.622,4.79401963739987e-133,"Cluster 1","Pde4b"
"Ap1s2",1.55955456210541e-135,0.851235213699712,0.908,0.59,2.03054003986124e-132,"Cluster 1","Ap1s2"
"Slc2a13",2.68432642161207e-135,0.564510831376975,0.994,0.935,3.49499300093892e-132,"Cluster 1","Slc2a13"
"Pdzrn4",4.3596181061427e-132,0.893064880099597,0.916,0.601,5.6762227741978e-129,"Cluster 1","Pdzrn4"
"Pcsk2",1.40257291958514e-130,0.634750012187167,0.992,0.865,1.82614994129985e-127,"Cluster 1","Pcsk2"
"Rgs12",7.6297495660641e-130,1.02798424787374,0.7,0.255,9.93393393501546e-127,"Cluster 1","Rgs12"
"Nfib",4.8343990070488e-128,0.719043414754934,0.98,0.633,6.29438750717754e-125,"Cluster 1","Nfib"
"Htr2c",1.86206621593648e-127,1.08028044746022,0.674,0.261,2.4244102131493e-124,"Cluster 1","Htr2c"
"Nr3c2",1.59860059249204e-126,0.654010189290338,0.98,0.84,2.08137797142464e-123,"Cluster 1","Nr3c2"
"Synpr",1.17790275295925e-125,0.656629643912737,1,0.733,1.53362938435294e-122,"Cluster 1","Synpr"
"Sorcs2",6.21241649414716e-120,0.868565919967704,0.909,0.698,8.08856627537961e-117,"Cluster 1","Sorcs2"
"Kcnq5",1.29878652662588e-117,0.649063749416655,0.992,0.858,1.69102005766689e-114,"Cluster 1","Kcnq5"
"Dscam",1.4073274401725e-115,0.616815501895695,0.991,0.796,1.8323403271046e-112,"Cluster 1","Dscam"
"Vwc2l",2.92497557958143e-112,1.24943488394338,0.588,0.213,3.80831820461503e-109,"Cluster 1","Vwc2l"
"Sobp",1.87356459994214e-110,0.493106445794206,0.985,0.951,2.43938110912466e-107,"Cluster 1","Sobp"
"Prkd1",1.82338573278111e-106,0.838488173292908,0.813,0.456,2.37404822408101e-103,"Cluster 1","Prkd1"
"Chsy3",2.43598930912117e-97,0.751218052806029,0.885,0.567,3.17165808047577e-94,"Cluster 1","Chsy3"
"Necab1",1.14314069861944e-96,0.81860264644832,0.797,0.432,1.48836918960251e-93,"Cluster 1","Necab1"
"Hdac9",2.13951006343859e-96,0.464312702127693,1,0.997,2.78564210259705e-93,"Cluster 1","Hdac9"
"Ust",7.27059953262259e-95,0.681569947951515,0.919,0.637,9.46632059147461e-92,"Cluster 1","Ust"
"Kcnb2",1.64643020603952e-94,0.623818561513442,0.952,0.841,2.14365212826345e-91,"Cluster 1","Kcnb2"
"Cxcl14",1.8460163236747e-93,1.04357229391256,0.777,0.533,2.40351325342446e-90,"Cluster 1","Cxcl14"
"Ptprd",3.10762563145721e-89,0.518749627691722,0.994,0.967,4.04612857215729e-86,"Cluster 1","Ptprd"
"Shisa9",1.70316027001209e-87,0.786973118581401,0.846,0.599,2.21751467155575e-84,"Cluster 1","Shisa9"
"Ptpro",2.35361334323716e-84,0.588949091982436,0.908,0.638,3.06440457289479e-81,"Cluster 1","Ptpro"
"Olfm1",5.56335819837856e-84,0.34530468562115,0.998,0.977,7.24349237428888e-81,"Cluster 1","Olfm1"
"Lrfn2",1.08883250878453e-83,0.636385451702439,0.869,0.596,1.41765992643746e-80,"Cluster 1","Lrfn2"
"Scg2",3.33765440059255e-81,0.445784769076562,0.994,0.919,4.34562602957149e-78,"Cluster 1","Scg2"
"Dgkb",2.07785701058537e-79,0.539835150559676,0.969,0.858,2.70536982778215e-76,"Cluster 1","Dgkb"
"Dock10",3.83380636410781e-79,0.637221371413695,0.912,0.73,4.99161588606837e-76,"Cluster 1","Dock10"
"Susd4",1.99507917885738e-78,0.442548940178647,0.968,0.845,2.59759309087231e-75,"Cluster 1","Susd4"
"Pvrl3",4.46515098927919e-77,0.819900139340481,0.739,0.446,5.8136265880415e-74,"Cluster 1","Pvrl3"
"Elmod1",1.57499961092247e-76,0.347875025607347,0.986,0.926,2.05064949342105e-73,"Cluster 1","Elmod1"
"Cplx2",1.04292944144346e-75,0.476049898706577,0.962,0.853,1.35789413275939e-72,"Cluster 1","Cplx2"
"Pde4d",1.27825330077867e-75,0.358458807096973,1,0.992,1.66428579761382e-72,"Cluster 1","Pde4d"
"Col24a1",7.41498516329565e-75,1.05872148754376,0.531,0.237,9.65431068261093e-72,"Cluster 1","Col24a1"
"Lrrc4c",1.64097793016027e-74,0.425505558792922,1,0.985,2.13655326506867e-71,"Cluster 1","Lrrc4c"
"Cacnb2",5.60097440523376e-74,0.414824161322356,0.986,0.914,7.29246867561435e-71,"Cluster 1","Cacnb2"
"Slc24a3",7.16838947262891e-74,0.425987265858644,0.989,0.935,9.33324309336284e-71,"Cluster 1","Slc24a3"
"Slc35f4",1.9508504528889e-73,0.446896176014088,0.963,0.858,2.54000728966135e-70,"Cluster 1","Slc35f4"
"Calb2",4.47243501038084e-73,1.14190729196671,0.659,0.406,5.82311038351586e-70,"Cluster 1","Calb2"
"Srrm4",7.40513092285531e-73,0.441390498303774,0.971,0.834,9.64148046155761e-70,"Cluster 1","Srrm4"
"Nbea",1.36621581614037e-70,0.291310832331847,0.998,0.974,1.77881299261476e-67,"Cluster 1","Nbea"
"Edil3",1.80378157026397e-69,0.418757282934068,0.995,0.92,2.34852360448369e-66,"Cluster 1","Edil3"
"Galnt14",1.70554262334772e-68,0.530963113928913,0.923,0.691,2.22061649559873e-65,"Cluster 1","Galnt14"
"Dab1",6.77214195835605e-68,0.394143215529165,1,0.936,8.81732882977957e-65,"Cluster 1","Dab1"
"Lingo2",9.08163694348846e-68,0.451931115678204,0.994,0.906,1.1824291300422e-64,"Cluster 1","Lingo2"
"Npas3",6.92667818314966e-66,0.447867882793705,0.995,0.896,9.01853499446086e-63,"Cluster 1","Npas3"
"Dcc",8.0395913002923e-66,0.574075405417715,0.942,0.816,1.04675478729806e-62,"Cluster 1","Dcc"
"Sh3gl3",1.56550456811006e-65,0.608186667363235,0.76,0.465,2.03828694767929e-62,"Cluster 1","Sh3gl3"
"Khdrbs2",9.25760365455308e-65,0.69796798967142,0.791,0.562,1.20533999582281e-61,"Cluster 1","Khdrbs2"
"Nell2",1.52665490093677e-63,0.558159531439915,0.869,0.634,1.98770468101967e-60,"Cluster 1","Nell2"
"Ntrk3",1.42879012003808e-62,0.43001237732898,0.975,0.837,1.86028473628958e-59,"Cluster 1","Ntrk3"
"Mlip",5.13271310412347e-62,0.67205896411359,0.794,0.533,6.68279246156875e-59,"Cluster 1","Mlip"
"Aplp2",2.45589705369406e-61,0.271444559792467,0.998,0.986,3.19757796390967e-58,"Cluster 1","Aplp2"
"Necab2",1.20544254628751e-59,0.569264496572435,0.662,0.341,1.56948619526634e-56,"Cluster 1","Necab2"
"Nr2f2",1.50286573693914e-59,0.522215516136488,0.645,0.313,1.95673118949476e-56,"Cluster 1","Nr2f2"
"Gng4",2.16830616871843e-57,0.536589539559574,0.805,0.537,2.8231346316714e-54,"Cluster 1","Gng4"
"Fstl5",3.86856686775483e-57,0.411380115586046,0.965,0.875,5.03687406181679e-54,"Cluster 1","Fstl5"
"Lrp1b",7.69143495831374e-57,0.382438119559921,1,0.97,1.00142483157245e-53,"Cluster 1","Lrp1b"
"Dync1i1",1.67260803925038e-55,0.326463496012577,0.977,0.938,2.17773566710399e-52,"Cluster 1","Dync1i1"
"Thy1",2.04435314844069e-55,0.294671942378702,0.988,0.963,2.66174779926978e-52,"Cluster 1","Thy1"
"Wbscr17",2.22847549451936e-55,0.554382284159849,0.926,0.816,2.9014750938642e-52,"Cluster 1","Wbscr17"
"Grid1",1.72238662607578e-54,0.331301553509607,0.975,0.923,2.24254738715067e-51,"Cluster 1","Grid1"
"Ptprn",5.05982983074905e-54,0.292419846157445,0.991,0.974,6.58789843963526e-51,"Cluster 1","Ptprn"
"Serpine2",5.06566778395315e-54,0.628370745192354,0.765,0.563,6.59549945470701e-51,"Cluster 1","Serpine2"
"Limch1",1.27518115713726e-53,0.308823127400013,0.989,0.967,1.66028586659271e-50,"Cluster 1","Limch1"
"St8sia5",1.38156831205498e-53,0.411855092993574,0.922,0.819,1.79880194229559e-50,"Cluster 1","St8sia5"
"Dlx1",1.92009134555736e-53,0.463278988570538,0.853,0.669,2.49995893191568e-50,"Cluster 1","Dlx1"
"Auts2",6.7063507972465e-53,0.2671783284686,0.997,0.988,8.73166873801495e-50,"Cluster 1","Auts2"
"Cntn4",2.01593111426747e-52,0.384142876312837,0.988,0.921,2.62474231077624e-49,"Cluster 1","Cntn4"
"Lrrtm4",5.84310037001319e-51,0.371885916453797,0.998,0.944,7.60771668175718e-48,"Cluster 1","Lrrtm4"
"Shank2",1.51141509715004e-49,0.359069362188803,0.971,0.886,1.96786245648935e-46,"Cluster 1","Shank2"
"Alcam",9.64994289456463e-49,0.49378428751871,0.897,0.766,1.25642256487232e-45,"Cluster 1","Alcam"
"Pcp4",4.62926752438798e-48,0.544855170195065,0.779,0.609,6.02730631675314e-45,"Cluster 1","Pcp4"
"Erbb4",6.08144771739479e-47,0.346322083099257,0.998,0.949,7.91804492804802e-44,"Cluster 1","Erbb4"
"Gabra2",2.90484813003078e-46,0.444356963848842,0.851,0.674,3.78211226530007e-43,"Cluster 1","Gabra2"
"Brinp3",6.62724626386174e-46,0.42162068361301,0.929,0.784,8.62867463554798e-43,"Cluster 1","Brinp3"
"Sntg1",2.81371367714955e-44,0.262567931855256,0.997,0.978,3.66345520764871e-41,"Cluster 1","Sntg1"
"Fam49a",1.10632729591579e-43,0.267093977933211,0.974,0.93,1.44043813928235e-40,"Cluster 1","Fam49a"
"Pdzd2",2.0426468946557e-43,0.439041659749882,0.912,0.806,2.65952625684172e-40,"Cluster 1","Pdzd2"
"Ano4",2.2615872291541e-43,0.472922447117619,0.856,0.778,2.94458657235863e-40,"Cluster 1","Ano4"
"Adcy2",2.66561087040085e-43,0.416235214798961,0.926,0.687,3.47062535326191e-40,"Cluster 1","Adcy2"
"Cck",1.16044026475e-41,0.855176681986304,0.684,0.534,1.5108932247045e-38,"Cluster 1","Cck"
"Grm7",1.85093595601445e-40,0.357390243333149,0.989,0.951,2.40991861473081e-37,"Cluster 1","Grm7"
"Grid2",1.98991362116046e-40,0.319723058784856,0.998,0.962,2.59086753475091e-37,"Cluster 1","Grid2"
"Chrna7",4.82031576151251e-40,0.488642593830824,0.713,0.467,6.27605112148929e-37,"Cluster 1","Chrna7"
"Bmper",1.48654989073286e-39,0.665028433202377,0.582,0.363,1.93548795773418e-36,"Cluster 1","Bmper"
"Ptpn5",1.87567134709224e-39,0.331365026348812,0.92,0.827,2.4421240939141e-36,"Cluster 1","Ptpn5"
"Zmat4",3.04698169050182e-39,0.387032710024692,0.926,0.712,3.96717016103337e-36,"Cluster 1","Zmat4"
"Tenm3",3.06978211455822e-39,0.437387458723649,0.905,0.795,3.9968563131548e-36,"Cluster 1","Tenm3"
"Pkp2",9.15703375076921e-39,0.588858302831213,0.258,0.087,1.19224579435015e-35,"Cluster 1","Pkp2"
"Slc35f1",1.65273471295352e-38,0.317518174366168,0.965,0.919,2.15186059626548e-35,"Cluster 1","Slc35f1"
"Fam19a2",2.02070750841056e-37,0.449267170185835,0.857,0.677,2.63096117595055e-34,"Cluster 1","Fam19a2"
"Baiap2",2.21002923689826e-37,0.43454551672836,0.78,0.588,2.87745806644154e-34,"Cluster 1","Baiap2"
"Asap1",1.63145707525394e-35,0.265308814937106,0.969,0.952,2.12415711198064e-32,"Cluster 1","Asap1"
"Ttc28",2.27913299202896e-35,0.344478370333177,0.932,0.844,2.96743115562171e-32,"Cluster 1","Ttc28"
"Epha3",3.43266094488511e-35,0.456421373946849,0.935,0.869,4.46932455024041e-32,"Cluster 1","Epha3"
"Camk2d",6.19242776040101e-35,0.267897513348742,0.955,0.897,8.06254094404212e-32,"Cluster 1","Camk2d"
"Nlgn1",1.93148897236197e-34,0.265463489027964,0.995,0.964,2.51479864201529e-31,"Cluster 1","Nlgn1"
"Olfm3",3.77976761044816e-32,0.291667549684842,0.829,0.606,4.9212574288035e-29,"Cluster 1","Olfm3"
"Grm8",4.55013398250342e-32,0.860503836996618,0.783,0.654,5.92427444521945e-29,"Cluster 1","Grm8"
"Shisa6",5.19864360286503e-31,0.423684937417478,0.722,0.507,6.76863397093027e-28,"Cluster 1","Shisa6"
"Fam19a5",2.0783993558412e-30,0.273316561138977,0.957,0.865,2.70607596130524e-27,"Cluster 1","Fam19a5"
"Gabrg2",2.7481362787976e-30,0.285983603908531,0.945,0.888,3.57807343499448e-27,"Cluster 1","Gabrg2"
"Hpcal1",9.37745995669597e-30,0.50196273209819,0.364,0.179,1.22094528636182e-26,"Cluster 1","Hpcal1"
"Bex1",2.45330788506793e-29,0.279989917034015,0.897,0.799,3.19420686635845e-26,"Cluster 1","Bex1"
"Pde10a",2.90708796588637e-29,0.260824266014609,0.988,0.96,3.78502853158405e-26,"Cluster 1","Pde10a"
"Cdkl5",4.06262115392499e-29,0.298394379132741,0.914,0.844,5.28953274241034e-26,"Cluster 1","Cdkl5"
"Cdk14",5.96276184476428e-29,0.278062984373803,0.954,0.913,7.76351592188309e-26,"Cluster 1","Cdk14"
"Npas1",8.62587373451478e-29,0.414434730931372,0.68,0.469,1.12308876023382e-25,"Cluster 1","Npas1"
"Mir99ahg",1.95613673340841e-28,0.300952376068141,0.942,0.822,2.54689002689775e-25,"Cluster 1","Mir99ahg"
"Ptpre",3.72562240668373e-28,0.337825511649279,0.837,0.67,4.85076037350221e-25,"Cluster 1","Ptpre"
"Gpc6",5.01097504237616e-28,0.596919429328567,0.837,0.754,6.52428950517376e-25,"Cluster 1","Gpc6"
"Ncam2",6.81471942677193e-28,0.318437473020384,0.935,0.823,8.87276469365705e-25,"Cluster 1","Ncam2"
"Mapk4",9.94717190643165e-28,0.376581408010155,0.753,0.594,1.2951217822174e-24,"Cluster 1","Mapk4"
"Cdh10",1.08223675355319e-26,0.279344671932928,0.928,0.847,1.40907225312626e-23,"Cluster 1","Cdh10"
"Ldb2",8.86770738884846e-26,0.42613345799268,0.634,0.454,1.15457550202807e-22,"Cluster 1","Ldb2"
"Fgfr1",4.50195748941657e-25,0.407432511248812,0.637,0.495,5.86154865122038e-22,"Cluster 1","Fgfr1"
"Gabra1",9.399104514894e-25,0.2936563982328,0.914,0.861,1.2237634078392e-21,"Cluster 1","Gabra1"
"Cntn6",2.68168626232306e-24,0.256789244423647,0.971,0.888,3.49155551354462e-21,"Cluster 1","Cntn6"
"Itgb8",4.87546201194588e-23,0.391681859045748,0.298,0.145,6.34785153955353e-20,"Cluster 1","Itgb8"
"Pde1c",1.2345899833172e-22,0.416532716039954,0.991,0.975,1.60743615827899e-19,"Cluster 1","Pde1c"
"Plce1",1.47151039542161e-22,0.562021309232935,0.585,0.459,1.91590653483894e-19,"Cluster 1","Plce1"
"Frem1",1.95873352784896e-22,0.653302374908707,0.304,0.157,2.55027105325934e-19,"Cluster 1","Frem1"
"Cacna2d3",2.46459493842925e-22,0.250965334844432,0.994,0.846,3.20890260983489e-19,"Cluster 1","Cacna2d3"
"Pde7b",3.93039462545921e-21,0.400729362439229,0.934,0.888,5.11737380234789e-18,"Cluster 1","Pde7b"
"Maml3",6.07920207579264e-20,0.305654109596018,0.862,0.775,7.91512110268202e-17,"Cluster 1","Maml3"
"Snca",1.43366306077628e-19,0.288469251639161,0.808,0.713,1.86662930513071e-16,"Cluster 1","Snca"
"Ngef",1.52636106293113e-19,0.295890694975203,0.8,0.694,1.98732210393633e-16,"Cluster 1","Ngef"
"Hs3st2",1.27693878098845e-18,0.457168328692883,0.364,0.22,1.66257429284697e-15,"Cluster 1","Hs3st2"
"Itga8",1.81145997312392e-18,0.556322700815266,0.476,0.342,2.35852088500735e-15,"Cluster 1","Itga8"
"Pcdh15",3.90274628473679e-18,0.265118429059096,0.972,0.932,5.0813756627273e-15,"Cluster 1","Pcdh15"
"Dkk3",7.71019677352525e-18,0.392055465382612,0.516,0.363,1.00386761991299e-14,"Cluster 1","Dkk3"
"Cadps2",1.91781456653862e-17,0.531339790181669,0.648,0.531,2.49699456563329e-14,"Cluster 1","Cadps2"
"Kcnh1",6.68224051934687e-17,0.261362902379458,0.857,0.769,8.70027715618963e-14,"Cluster 1","Kcnh1"
"Diras2",3.75865413056933e-16,0.382214040224907,0.591,0.465,4.89376767800127e-13,"Cluster 1","Diras2"
"Rxfp1",4.96557617088298e-16,0.432383253975728,0.384,0.241,6.46518017448964e-13,"Cluster 1","Rxfp1"
"Mboat2",9.64639521862875e-16,0.251082874247363,0.84,0.798,1.25596065746546e-12,"Cluster 1","Mboat2"
"Cdh8",1.46446305434108e-15,0.275276723136249,0.814,0.686,1.90673089675209e-12,"Cluster 1","Cdh8"
"Rnf144a",1.05077348038439e-13,0.30810715089841,0.433,0.299,1.36810707146048e-10,"Cluster 1","Rnf144a"
"Ghr",2.08402992134159e-13,0.382667722916232,0.594,0.481,2.71340695758674e-10,"Cluster 1","Ghr"
"Gulp1",4.42319370440417e-13,0.474985010358214,0.332,0.222,5.75899820313423e-10,"Cluster 1","Gulp1"
"Itpk1",9.77204259247302e-12,0.253895799706174,0.707,0.613,1.27231994553999e-08,"Cluster 1","Itpk1"
"Dhcr24",2.66861801991255e-10,0.253125598275361,0.518,0.406,3.47454066192615e-07,"Cluster 1","Dhcr24"
"Nr4a2",3.20053726819311e-10,0.410615871289394,0.313,0.216,4.16709952318743e-07,"Cluster 1","Nr4a2"
"Kcnh3",1.44732475069186e-08,0.319183561903226,0.467,0.377,1.8844168254008e-05,"Cluster 1","Kcnh3"
"Gpc1",3.59578683236935e-08,0.283405254462368,0.49,0.412,4.68171445574489e-05,"Cluster 1","Gpc1"
"Ryr3",4.26102817803982e-08,0.29563204311833,0.667,0.603,5.54785868780784e-05,"Cluster 1","Ryr3"
"L3mbtl4",1.10363235914543e-07,0.262531471457271,0.438,0.352,0.000143692933160735,"Cluster 1","L3mbtl4"
"Nrn1",7.37713204595173e-07,0.284900536598165,0.298,0.222,0.000960502592382916,"Cluster 1","Nrn1"
"Rorb",1.42500883881403e-06,0.300939940065692,0.49,0.412,0.00185536150813586,"Cluster 1","Rorb"
"Pvalb",0,1.59306636933965,0.979,0.231,0,"Cluster 2","Pvalb"
"Cemip",0,1.54539202092404,0.984,0.326,0,"Cluster 2","Cemip"
"Slit2",3.64886484362748e-275,1.54673169607632,0.996,0.521,4.75082202640297e-272,"Cluster 2","Slit2"
"Dock4",1.93427276638531e-251,1.00406289946622,0.998,0.901,2.51842314183367e-248,"Cluster 2","Dock4"
"Cntnap4",2.75902437609546e-220,1.0420711505918,0.998,0.689,3.59224973767628e-217,"Cluster 2","Cntnap4"
"Sox5",5.93169415583014e-211,1.06097954768334,0.996,0.67,7.72306579089084e-208,"Cluster 2","Sox5"
"Esrrg",1.63497894793569e-206,1.01991103196385,0.996,0.744,2.12874259021227e-203,"Cluster 2","Esrrg"
"Tmem132c",9.14076101251625e-206,1.16684013602342,0.954,0.456,1.19012708382962e-202,"Cluster 2","Tmem132c"
"Slc35f3",5.233438595092e-198,0.936245084862774,0.993,0.652,6.81393705080978e-195,"Cluster 2","Slc35f3"
"Gabrd",4.87054222205376e-191,0.990855967286962,0.975,0.479,6.341445973114e-188,"Cluster 2","Gabrd"
"Tac1",2.56530158357934e-189,1.39091329522181,0.469,0.049,3.3400226618203e-186,"Cluster 2","Tac1"
"Tmem108",2.24443721825994e-184,1.0052361725312,0.972,0.625,2.92225725817445e-181,"Cluster 2","Tmem108"
"Kcnc1",5.7122911837922e-183,0.549972965412282,1,0.965,7.43740312129745e-180,"Cluster 2","Kcnc1"
"Plcxd3",5.96977262017672e-183,0.961269080664795,0.998,0.948,7.77264395147009e-180,"Cluster 2","Plcxd3"
"Rapgef5",8.36807671126079e-179,0.871567297185567,0.986,0.638,1.08952358780616e-175,"Cluster 2","Rapgef5"
"Ppargc1a",9.98845448687629e-179,0.568883212668831,1,0.972,1.30049677419129e-175,"Cluster 2","Ppargc1a"
"Trpc3",1.16760254407049e-175,1.05313867054696,0.821,0.257,1.52021851237978e-172,"Cluster 2","Trpc3"
"Btbd11",7.79394620409035e-172,0.734471661177462,0.993,0.846,1.01477179577256e-168,"Cluster 2","Btbd11"
"Kcnh7",9.42884334928686e-172,0.720624009845506,0.998,0.936,1.22763540407715e-168,"Cluster 2","Kcnh7"
"Tmem132d",1.22302394940244e-169,0.886062631902984,0.993,0.799,1.59237718212198e-166,"Cluster 2","Tmem132d"
"Fam135b",1.1022068181621e-166,0.745909359165091,0.995,0.77,1.43507327724705e-163,"Cluster 2","Fam135b"
"Tll1",1.9766644391528e-159,1.07847732836543,0.702,0.198,2.57361709977694e-156,"Cluster 2","Tll1"
"Ntrk31",7.21908925784415e-159,0.832039634876544,0.991,0.838,9.39925421371308e-156,"Cluster 2","Ntrk3"
"Trps1",1.22388254840838e-157,1.01553373644618,0.948,0.615,1.59349507802771e-154,"Cluster 2","Trps1"
"Itpr1",1.68025104611514e-156,0.77919215166975,0.989,0.758,2.18768686204192e-153,"Cluster 2","Itpr1"
"Kcnc2",3.45850925836437e-155,0.6033406813109,0.998,0.899,4.50297905439041e-152,"Cluster 2","Kcnc2"
"Erbb41",2.11973026441522e-149,0.640645456209747,1,0.951,2.75988880426861e-146,"Cluster 2","Erbb4"
"Lrrc4c1",1.4837250786847e-146,0.650598951645512,1,0.985,1.93181005244748e-143,"Cluster 2","Lrrc4c"
"Etv6",3.4812466739349e-146,0.853786133382026,0.957,0.628,4.53258316946323e-143,"Cluster 2","Etv6"
"Coro6",1.47534812149558e-144,0.735764312390948,0.989,0.607,1.92090325418724e-141,"Cluster 2","Coro6"
"Fam19a21",2.69494412486161e-141,0.859452260969684,0.977,0.661,3.50881725056982e-138,"Cluster 2","Fam19a2"
"Scn1a",2.78479675062573e-141,0.41394602430305,1,0.979,3.6258053693147e-138,"Cluster 2","Scn1a"
"Plxna4",4.79205568262683e-140,0.558446289075895,0.996,0.911,6.23925649878013e-137,"Cluster 2","Plxna4"
"Atrnl1",8.59029037349106e-133,0.51874755774928,0.996,0.934,1.11845580662854e-129,"Cluster 2","Atrnl1"
"Arap2",6.91185184608934e-132,0.745209056943348,0.968,0.623,8.99923110360832e-129,"Cluster 2","Arap2"
"Igsf11",1.06187853135276e-131,0.754167721953202,0.977,0.477,1.38256584782129e-128,"Cluster 2","Igsf11"
"Ptpre1",1.04204205407978e-130,0.708604193478027,0.982,0.648,1.35673875441187e-127,"Cluster 2","Ptpre"
"Fgf12",2.8327345730963e-130,0.442961696191019,0.998,0.984,3.68822041417139e-127,"Cluster 2","Fgf12"
"Il1rapl1",3.05901819198313e-126,0.458855577151322,1,0.998,3.98284168596203e-123,"Cluster 2","Il1rapl1"
"Eya4",5.83946341859929e-122,0.974650208808305,0.858,0.468,7.60298137101627e-119,"Cluster 2","Eya4"
"Srrm41",4.36348554048829e-121,0.571424441879238,0.998,0.833,5.68125817371575e-118,"Cluster 2","Srrm4"
"Prkca",1.57402600405504e-120,0.547139652025596,0.996,0.877,2.04938185727966e-117,"Cluster 2","Prkca"
"Kazn",1.41321925227441e-116,0.647742162026968,0.975,0.687,1.84001146646129e-113,"Cluster 2","Kazn"
"Hcn1",4.11715027248225e-115,0.441439434806159,0.998,0.949,5.36052965477188e-112,"Cluster 2","Hcn1"
"Vwc2",1.67868384481873e-111,0.711550836934157,0.961,0.617,2.18564636595399e-108,"Cluster 2","Vwc2"
"Slc24a2",2.87874577954146e-109,0.446758486337867,1,0.957,3.74812700496298e-106,"Cluster 2","Slc24a2"
"Enox1",8.32730916030511e-109,0.470475306692438,1,0.979,1.08421565267173e-105,"Cluster 2","Enox1"
"Rarb",1.14802090139159e-106,0.74489297660282,0.941,0.641,1.49472321361185e-103,"Cluster 2","Rarb"
"Ppfia2",1.20339482979953e-106,0.423090102382039,0.998,0.964,1.56682006839899e-103,"Cluster 2","Ppfia2"
"Dgki",3.43978245036836e-106,0.436926208269684,0.996,0.923,4.47859675037961e-103,"Cluster 2","Dgki"
"Mef2c",8.11240539738509e-106,0.398595814298043,1,0.97,1.05623518273954e-102,"Cluster 2","Mef2c"
"Arhgap5",3.42283525188356e-105,0.400937159642963,0.996,0.939,4.4565314979524e-102,"Cluster 2","Arhgap5"
