"data","Val0","Val1","Val2","class","cellnames","gmm_cluster"
"Ephys",0.0108285693364162,-0.0237082571157039,-0.0260826471519524,"Lamp5","SM-GE65C_S121_E1-50",4
"Ephys",0.0102074910702765,-0.00373387545554654,0.0126847329729393,"Vip","SM-GE63H_S190_E1-50",1
"Ephys",-0.00364638646180702,0.0106064168708497,-0.00625717696259248,"Sst","SM-GE63H_S191_E1-50",3
"Ephys",0.0116094667493237,-0.00252157640574906,0.0132751603896952,"Vip","SM-GE65C_S139_E1-50",1
"Ephys",0.0139692772523272,-0.00571326204022101,0.0174533320646508,"Vip","SM-GE65C_S137_E1-50",1
"Ephys",-0.00318285796152579,0.0122060959005631,-0.0072311950303093,"Sst","SM-GE65C_S138_E1-50",3
"Ephys",0.00900194835893047,-0.0191468539609618,-0.0222742821415342,"Lamp5","SM-GE65C_S133_E1-50",4
"Ephys",0.000868493884606298,0.0128252230735952,-0.00628120166905017,"Sst","SM-GE65C_S134_E1-50",3
"Ephys",-0.00151149504952262,0.0121688428363375,-0.00631759118539315,"Sst","SM-GE65C_S135_E1-50",3
"Ephys",0.00983225393738399,-0.0226310585698992,-0.0223551297074285,"Lamp5","SM-GE65C_S142_E1-50",4
"Ephys",-0.00349420540803647,0.0111038079089079,-0.00652893628592228,"Sst","SM-GE65C_S171_E1-50",3
"Ephys",0.011828975068719,-0.0256925067649303,-0.0281350555281324,"Lamp5","SM-GE65C_S172_E1-50",4
"Ephys",0.0115865556055285,-0.0249422513908784,-0.0273269104723064,"Lamp5","SM-GE65C_S169_E1-50",4
"Ephys",0.000511579241797966,0.0110819486274439,-0.00598194245836014,"Sst","SM-GE65C_S173_E1-50",3
"Ephys",0.00839714528723965,0.000794933751942178,0.00739865221011592,"Vip","SM-GE65C_S170_E1-50",5
"Ephys",-0.00428564725434875,0.0114948771216431,-0.00770755672339808,"Sst","SM-GE65C_S158_E1-50",3
"Ephys",-0.0229040073487139,-0.0103346006027989,0.00750007107101653,"Pvalb","SM-GE65C_S177_E1-50",2
"Ephys",0.0101816276143343,-0.0186289334584798,-0.0174070912987976,"Lamp5","SM-GE65C_S178_E1-50",4
"Ephys",0.0105757145642429,-0.0142075408845339,-0.0055007813835727,"Lamp5","SM-GE652_S135_E1-50",5
"Ephys",0.00672179253616205,-0.0157602434934348,-0.0132497119240302,"Vip","SM-GE652_S136_E1-50",5
"Ephys",0.0101937101263132,-0.0186215563196977,-0.0170707317621281,"Lamp5","SM-GE65C_S184_E1-50",4
"Ephys",0.0118338467362537,-0.0254862382216738,-0.0275386798757159,"Lamp5","SM-GE65C_S188_E1-50",4
"Ephys",0.00782500961468837,0.00308851815711177,0.00953022480043401,"Sst","SM-GE652_S137_E1-50",5
"Ephys",0.0135577097500715,-0.00470857391219356,0.0188258565645683,"Vip","SM-GE65C_S185_E1-50",1
"Ephys",0.0110839041201517,-0.0247601744694077,-0.0265342668013542,"Lamp5","SM-GE65C_S189_E1-50",4
"Ephys",0.00972295373268555,-0.0199567098036035,-0.0261425992817507,"Lamp5","SM-GE652_S131_E1-50",4
"Ephys",0.0127674019174632,-0.00726298976863824,0.00983955500635057,"Vip","SM-GE65C_S186_E1-50",1
"Ephys",0.0133957904118675,-0.00668700597288386,0.0145900960890845,"Vip","SM-GE65C_S192_E1-50",1
"Ephys",0.0116560221572475,-0.0256169997661928,-0.0283084660981416,"Lamp5","SM-GE652_S161_E1-50",4
"Ephys",0.0127431840480086,-0.00306488840293519,0.0168444872259729,"Vip","SM-GE652_S162_E1-50",1
"Ephys",0.0115092127265928,-0.0248121950308034,-0.0265572038195816,"Lamp5","SM-GE652_S152_E1-50",4
